index,group_id,mean_correct,evaluated_images,mean_error
319,01::003714665855,1.0,9,0.0
333,01::003767946001,1.0,9,0.0
339,01::003780616038,1.0,9,0.0
352,01::003796816085,1.0,9,0.0
365,01::003825916156,1.0,9,0.0
386,01::003892146306,1.0,9,0.0
399,01::003919356360,1.0,9,0.0
408,01::003939916416,1.0,9,0.0
409,01::003939966416,1.0,9,0.0
430,01::004095076724,1.0,9,0.0
434,01::004095936724,1.0,9,0.0
436,01::004096226724,1.0,9,0.0
437,01::004099446726,1.0,9,0.0
460,01::004127126756,1.0,9,0.0
464,01::004132046766,1.0,9,0.0
470,01::004136286774,1.0,9,0.0
487,01::004176536832,1.0,9,0.0
489,01::004185896842,1.0,9,0.0
491,01::004188816845,1.0,9,0.0
496,01::004210986888,1.0,9,0.0
502,01::004230936916,1.0,9,0.0
508,01::004244556944,1.0,9,0.0
521,01::004286237003,1.0,9,0.0
526,01::004296087022,1.0,9,0.0
539,01::004342787065,1.0,9,0.0
550,01::004361107106,1.0,9,0.0
565,01::004431107190,1.0,9,0.0
569,01::004458037223,1.0,9,0.0
593,01::004503257286,1.0,9,0.0
638,02::000013560001,1.0,9,0.0
641,02::000026820001,1.0,9,0.0
668,02::003494775372,1.0,9,0.0
674,02::003517545415,1.0,9,0.0
708,02::003708865845,1.0,9,0.0
717,02::003725615873,1.0,9,0.0
732,02::003804986105,1.0,9,0.0
771,02::004360517105,1.0,9,0.0
787,02::004432147191,1.0,9,0.0
789,02::004432847191,1.0,9,0.0
800,02::004519597323,1.0,9,0.0
801,02::004524057333,1.0,9,0.0
807,02::004547917374,1.0,9,0.0
808,02::004548177374,1.0,9,0.0
812,02::004592687447,1.0,9,0.0
816,02::389955632002,1.0,9,0.0
819,02::460110745502,1.0,9,0.0
822,03::000013760001,1.0,9,0.0
827,03::000027459596,1.0,9,0.0
835,03::002626000103,1.0,9,0.0
849,03::003470905337,1.0,9,0.0
853,03::003516005414,1.0,9,0.0
862,03::003563435500,1.0,9,0.0
870,03::003651755728,1.0,9,0.0
879,03::003725035873,1.0,9,0.0
916,03::004214476890,1.0,9,0.0
931,03::004273446975,1.0,9,0.0
938,03::004313357038,1.0,9,0.0
