group_id,C0,C1,C2,seed,c1_minus_c0,c2_minus_c1
01::003819526127,1.0,1.0,1.0,3407,0.0,0.0
01::003819896127,1.0,1.0,1.0,3407,0.0,0.0
01::003825756156,1.0,1.0,1.0,3407,0.0,0.0
01::003826716156,1.0,1.0,1.0,3407,0.0,0.0
01::003826836157,1.0,1.0,1.0,3407,0.0,0.0
01::003832456168,1.0,1.0,1.0,3407,0.0,0.0
01::003833216168,1.0,1.0,1.0,3407,0.0,0.0
01::003836876177,1.0,1.0,1.0,3407,0.0,0.0
01::003837156178,1.0,1.0,1.0,3407,0.0,0.0
01::003837386178,1.0,1.0,1.0,3407,0.0,0.0
01::003838206180,1.0,1.0,1.0,3407,0.0,0.0
01::003838396180,1.0,1.0,1.0,3407,0.0,0.0
01::003838486180,1.0,1.0,1.0,3407,0.0,0.0
01::003838516180,1.0,1.0,1.0,3407,0.0,0.0
01::003839036184,1.0,1.0,1.0,3407,0.0,0.0
01::003840716187,1.0,1.0,1.0,3407,0.0,0.0
01::003843386191,1.0,1.0,1.0,3407,0.0,0.0
01::003843476191,1.0,1.0,1.0,3407,0.0,0.0
01::003843576191,1.0,1.0,1.0,3407,0.0,0.0
01::003843616191,1.0,1.0,1.0,3407,0.0,0.0
01::003848846201,1.0,1.0,1.0,3407,0.0,0.0
01::003849026201,1.0,1.0,1.0,3407,0.0,0.0
01::003850276208,1.0,1.0,1.0,3407,0.0,0.0
01::003856796226,1.0,1.0,1.0,3407,0.0,0.0
01::003871206248,1.0,1.0,1.0,3407,0.0,0.0
01::003871876248,0.0,1.0,1.0,3407,1.0,0.0
01::003874706255,1.0,1.0,1.0,3407,0.0,0.0
01::003883166287,1.0,1.0,1.0,3407,0.0,0.0
01::003883606287,1.0,1.0,1.0,3407,0.0,0.0
01::003886316294,1.0,1.0,1.0,3407,0.0,0.0
01::003888756299,1.0,1.0,1.0,3407,0.0,0.0
01::003891556306,1.0,1.0,1.0,3407,0.0,0.0
01::003891696306,1.0,1.0,1.0,3407,0.0,0.0
01::003892026306,1.0,1.0,1.0,3407,0.0,0.0
01::003892086306,1.0,1.0,1.0,3407,0.0,0.0
01::003892226306,1.0,1.0,1.0,3407,0.0,0.0
01::003895996309,1.0,1.0,1.0,3407,0.0,0.0
01::003896266309,1.0,1.0,1.0,3407,0.0,0.0
01::003908796342,1.0,1.0,1.0,3407,0.0,0.0
01::003909786343,1.0,1.0,1.0,3407,0.0,0.0
01::003910376343,1.0,1.0,1.0,3407,0.0,0.0
01::003910536343,1.0,1.0,1.0,3407,0.0,0.0
01::003911226343,1.0,1.0,1.0,3407,0.0,0.0
01::003915986353,1.0,1.0,1.0,3407,0.0,0.0
01::003916126353,1.0,1.0,1.0,3407,0.0,0.0
01::003917766356,1.0,1.0,1.0,3407,0.0,0.0
01::003919196360,1.0,1.0,1.0,3407,0.0,0.0
01::003921476366,1.0,1.0,1.0,3407,0.0,0.0
01::003925576379,1.0,1.0,1.0,3407,0.0,0.0
01::003925806379,1.0,1.0,1.0,3407,0.0,0.0
01::003929846388,1.0,1.0,1.0,3407,0.0,0.0
01::003933736405,0.0,1.0,1.0,3407,1.0,0.0
01::003935156408,1.0,1.0,1.0,3407,0.0,0.0
01::003935196408,1.0,1.0,1.0,3407,0.0,0.0
01::003935246408,1.0,1.0,1.0,3407,0.0,0.0
01::003935666408,1.0,1.0,1.0,3407,0.0,0.0
01::003937266412,1.0,1.0,1.0,3407,0.0,0.0
01::003937276412,1.0,1.0,1.0,3407,0.0,0.0
01::003937306411,1.0,1.0,1.0,3407,0.0,0.0
01::003943416429,1.0,1.0,1.0,3407,0.0,0.0
01::003943506429,1.0,1.0,1.0,3407,0.0,0.0
01::003943566429,1.0,1.0,1.0,3407,0.0,0.0
