seed,fold,method,view,species_id,f1,tier
3407,3,F1,cross_swap,3,0.7791304347826087,head
3407,3,F1,cross_swap,4,0.6844215349369989,head
3407,3,F1,cross_swap,5,0.7967914438502673,head
3407,3,F1,cross_swap,6,0.5145631067961165,mid
3407,3,F1,cross_swap,7,0.1588447653429603,head
3407,3,F1,cross_swap,8,0.56,mid
3407,3,F1,cross_swap,9,0.5221238938053098,mid
2026,1,F0,original,1,0.9922667955534075,head
2026,1,F0,original,10,0.979381443298969,mid
2026,1,F0,original,11,0.9230769230769231,tail
2026,1,F0,original,12,0.9484536082474226,tail
2026,1,F0,original,13,1.0,tail
2026,1,F0,original,14,0.88,tail
2026,1,F0,original,15,0.75,tail
2026,1,F0,original,16,1.0,mid
2026,1,F0,original,2,0.9949466591802358,head
2026,1,F0,original,3,0.9881214254289485,head
2026,1,F0,original,4,0.9953917050691244,head
2026,1,F0,original,5,0.9981000633312223,head
2026,1,F0,original,6,0.918918918918919,mid
2026,1,F0,original,7,0.9719626168224299,head
2026,1,F0,original,8,0.8852459016393442,mid
2026,1,F0,original,9,0.9483568075117371,mid
2026,1,F0,foreground,1,0.9881870781099324,head
2026,1,F0,foreground,10,0.9947643979057592,mid
2026,1,F0,foreground,11,0.8,tail
2026,1,F0,foreground,12,0.9032258064516129,tail
2026,1,F0,foreground,13,0.8571428571428571,tail
2026,1,F0,foreground,14,0.7142857142857143,tail
2026,1,F0,foreground,15,0.75,tail
2026,1,F0,foreground,16,0.0,mid
2026,1,F0,foreground,2,0.984304932735426,head
2026,1,F0,foreground,3,0.98719646799117,head
2026,1,F0,foreground,4,0.9632025879498585,head
2026,1,F0,foreground,5,0.961439588688946,head
2026,1,F0,foreground,6,0.6206896551724138,mid
2026,1,F0,foreground,7,0.9122807017543859,head
2026,1,F0,foreground,8,0.8760330578512396,mid
2026,1,F0,foreground,9,0.91324200913242,mid
2026,1,F0,same_swap,1,0.9863937387116195,head
2026,1,F0,same_swap,10,0.9896907216494846,mid
2026,1,F0,same_swap,11,0.7868852459016393,tail
2026,1,F0,same_swap,12,0.9215686274509803,tail
2026,1,F0,same_swap,13,0.9454545454545454,tail
2026,1,F0,same_swap,14,0.7692307692307693,tail
2026,1,F0,same_swap,15,0.7096774193548387,tail
2026,1,F0,same_swap,16,0.9906542056074766,mid
2026,1,F0,same_swap,2,0.9801699716713881,head
2026,1,F0,same_swap,3,0.9681185451279749,head
2026,1,F0,same_swap,4,0.9920668058455114,head
2026,1,F0,same_swap,5,0.9923761118170267,head
2026,1,F0,same_swap,6,0.7714285714285715,mid
2026,1,F0,same_swap,7,0.9493087557603687,head
2026,1,F0,same_swap,8,0.8888888888888888,mid
2026,1,F0,same_swap,9,0.8717948717948718,mid
2026,1,F0,cross_swap,1,0.8015804420298802,head
2026,1,F0,cross_swap,10,0.053475935828877004,mid
2026,1,F0,cross_swap,11,0.6181818181818182,tail
2026,1,F0,cross_swap,12,0.6972477064220184,tail
2026,1,F0,cross_swap,13,0.735632183908046,tail
2026,1,F0,cross_swap,14,0.8148148148148148,tail
2026,1,F0,cross_swap,15,0.0,tail
2026,1,F0,cross_swap,16,0.0,mid
2026,1,F0,cross_swap,2,0.7836593785960875,head
2026,1,F0,cross_swap,3,0.743132530120482,head
2026,1,F0,cross_swap,4,0.7145708582834331,head
2026,1,F0,cross_swap,5,0.8248125426039536,head
2026,1,F0,cross_swap,6,0.42857142857142855,mid
2026,1,F0,cross_swap,7,0.2482758620689655,head
2026,1,F0,cross_swap,8,0.5471698113207547,mid
2026,1,F0,cross_swap,9,0.6811594202898551,mid
2026,1,F1,original,1,0.993456131846825,head
2026,1,F1,original,10,0.9696969696969697,mid
2026,1,F1,original,11,0.9523809523809523,tail
2026,1,F1,original,12,0.9504950495049505,tail
2026,1,F1,original,13,0.9811320754716981,tail
2026,1,F1,original,14,0.88,tail
2026,1,F1,original,15,0.9743589743589743,tail
2026,1,F1,original,16,1.0,mid
2026,1,F1,original,2,0.9971862689926843,head
2026,1,F1,original,3,0.9942957437472576,head
2026,1,F1,original,4,0.998320738874895,head
2026,1,F1,original,5,0.9993682880606444,head
2026,1,F1,original,6,0.8947368421052632,mid
2026,1,F1,original,7,0.9760765550239234,head
2026,1,F1,original,8,0.8208955223880597,mid
2026,1,F1,original,9,0.9622641509433962,mid
2026,1,F1,foreground,1,0.9949078564500485,head
2026,1,F1,foreground,10,0.9846153846153847,mid
2026,1,F1,foreground,11,0.9354838709677419,tail
2026,1,F1,foreground,12,0.96,tail
2026,1,F1,foreground,13,0.9902912621359223,tail
2026,1,F1,foreground,14,0.9230769230769231,tail
2026,1,F1,foreground,15,0.9473684210526315,tail
2026,1,F1,foreground,16,0.972972972972973,mid
2026,1,F1,foreground,2,0.9954904171364148,head
2026,1,F1,foreground,3,0.9947414548641542,head
2026,1,F1,foreground,4,0.9991617770326907,head
2026,1,F1,foreground,5,0.9987373737373737,head
2026,1,F1,foreground,6,0.8395061728395061,mid
2026,1,F1,foreground,7,0.9903846153846154,head
2026,1,F1,foreground,8,0.8444444444444444,mid
2026,1,F1,foreground,9,0.957345971563981,mid
2026,1,F1,same_swap,1,0.9870444363724422,head
2026,1,F1,same_swap,10,0.9795918367346939,mid
