fold,seed,donor_species,recipient_species,n,f0_correct,cxt_correct,delta_correct
1,17,5,3,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
1,17,5,4,5,0.8,0.8,0.0
1,17,5,5,1,1.0,0.0,-1.0
1,17,5,6,4,0.75,0.25,-0.5
1,17,5,7,5,0.0,0.0,0.0
1,17,5,8,89,0.3707865168539326,0.6067415730337079,0.23595505617977527
1,17,5,9,119,0.2857142857142857,0.3949579831932773,0.1092436974789916
1,17,5,10,114,0.8508771929824561,0.9122807017543859,0.06140350877192982
1,17,5,12,2,1.0,1.0,0.0
1,17,5,13,12,0.0,0.08333333333333333,0.08333333333333333
1,17,5,14,8,0.0,0.125,0.125
1,17,5,15,14,0.9285714285714286,0.8571428571428571,-0.07142857142857142
1,17,6,0,34,1.0,1.0,0.0
1,17,6,6,2,1.0,0.5,-0.5
1,17,6,8,10,1.0,1.0,0.0
1,17,6,9,7,0.42857142857142855,0.5714285714285714,0.14285714285714285
1,17,6,10,9,0.7777777777777778,0.6666666666666666,-0.1111111111111111
1,17,6,11,1,1.0,1.0,0.0
1,17,6,13,1,1.0,1.0,0.0
1,17,6,15,1,1.0,1.0,0.0
1,17,7,0,94,0.9574468085106383,0.9893617021276596,0.031914893617021274
1,17,7,1,1,0.0,0.0,0.0
1,17,7,8,18,0.9444444444444444,1.0,0.05555555555555555
1,17,7,9,11,0.9090909090909091,1.0,0.09090909090909091
1,17,7,10,15,0.8666666666666667,1.0,0.13333333333333333
1,17,7,11,14,0.7857142857142857,1.0,0.21428571428571427
1,17,7,14,1,1.0,1.0,0.0
1,17,8,0,68,0.9117647058823529,0.9558823529411765,0.04411764705882353
1,17,8,2,1,0.0,0.0,0.0
1,17,8,7,1,0.0,0.0,0.0
1,17,8,8,6,1.0,1.0,0.0
1,17,8,9,11,0.5454545454545454,0.9090909090909091,0.36363636363636365
1,17,8,10,11,1.0,1.0,0.0
1,17,8,11,6,0.3333333333333333,0.8333333333333334,0.5
1,17,8,12,1,1.0,1.0,0.0
1,17,9,0,105,0.9523809523809523,0.9809523809523809,0.02857142857142857
1,17,9,1,1,1.0,1.0,0.0
1,17,9,2,1,1.0,1.0,0.0
1,17,9,3,1,0.0,1.0,1.0
1,17,9,8,14,0.9285714285714286,0.9285714285714286,0.0
1,17,9,9,17,0.8823529411764706,0.9411764705882353,0.058823529411764705
1,17,9,10,19,0.8421052631578947,0.7894736842105263,-0.05263157894736842
1,17,9,11,10,0.8,1.0,0.2
1,17,9,14,5,0.4,0.4,0.0
2,3407,1,1,68,0.014705882352941176,0.5294117647058824,0.5147058823529411
2,3407,1,2,14,0.8571428571428571,0.8571428571428571,0.0
2,3407,1,3,20,0.6,0.8,0.2
2,3407,1,4,39,0.8717948717948718,0.9230769230769231,0.05128205128205128
2,3407,1,5,18,0.3888888888888889,0.5,0.1111111111111111
2,3407,1,6,6,0.3333333333333333,0.5,0.16666666666666666
2,3407,1,7,56,0.017857142857142856,0.19642857142857142,0.17857142857142858
2,3407,1,8,396,0.8409090909090909,0.8535353535353535,0.012626262626262626
2,3407,1,9,644,0.5170807453416149,0.75,0.2329192546583851
2,3407,1,10,791,0.8798988621997471,0.9039190897597977,0.02402022756005057
2,3407,1,11,443,0.8984198645598194,0.9841986455981941,0.08577878103837472
2,3407,1,12,33,0.7878787878787878,0.9696969696969697,0.18181818181818182
2,3407,1,13,40,0.15,0.475,0.325
